rollup_timestamp,database,value
2018-06-01,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1099.0
2018-06-02,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1363.0
2018-06-03,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1014.0
2018-06-04,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1080.0
2018-06-05,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1082.0
2018-06-06,18a35b7d-418a-4c7f-8d1c-8b3df052739c,966.0
2018-06-07,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1055.0
2018-06-08,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1009.0
2018-06-09,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1076.0
2018-06-10,18a35b7d-418a-4c7f-8d1c-8b3df052739c,979.0
2018-06-11,18a35b7d-418a-4c7f-8d1c-8b3df052739c,954.0
2018-06-12,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1004.0
2018-06-13,18a35b7d-418a-4c7f-8d1c-8b3df052739c,956.0
2018-06-14,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1065.0
2018-06-15,18a35b7d-418a-4c7f-8d1c-8b3df052739c,943.0
2018-06-16,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1000.0
2018-06-17,18a35b7d-418a-4c7f-8d1c-8b3df052739c,927.0
2018-06-18,18a35b7d-418a-4c7f-8d1c-8b3df052739c,975.0
2018-06-19,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1101.0
2018-06-20,18a35b7d-418a-4c7f-8d1c-8b3df052739c,991.0
2018-06-21,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1061.0
2018-06-22,18a35b7d-418a-4c7f-8d1c-8b3df052739c,936.0
2018-06-23,18a35b7d-418a-4c7f-8d1c-8b3df052739c,936.0
2018-06-24,18a35b7d-418a-4c7f-8d1c-8b3df052739c,984.0
2018-06-25,18a35b7d-418a-4c7f-8d1c-8b3df052739c,904.0
2018-06-26,18a35b7d-418a-4c7f-8d1c-8b3df052739c,870.0
2018-06-27,18a35b7d-418a-4c7f-8d1c-8b3df052739c,943.0
2018-06-28,18a35b7d-418a-4c7f-8d1c-8b3df052739c,903.0
2018-06-29,18a35b7d-418a-4c7f-8d1c-8b3df052739c,960.0
2018-06-30,18a35b7d-418a-4c7f-8d1c-8b3df052739c,932.0
2018-07-01,18a35b7d-418a-4c7f-8d1c-8b3df052739c,909.0
2018-07-02,18a35b7d-418a-4c7f-8d1c-8b3df052739c,927.0
2018-07-03,18a35b7d-418a-4c7f-8d1c-8b3df052739c,886.0
2018-07-04,18a35b7d-418a-4c7f-8d1c-8b3df052739c,965.0
2018-07-05,18a35b7d-418a-4c7f-8d1c-8b3df052739c,917.0
2018-07-06,18a35b7d-418a-4c7f-8d1c-8b3df052739c,897.0
2018-07-07,18a35b7d-418a-4c7f-8d1c-8b3df052739c,842.0
2018-07-08,18a35b7d-418a-4c7f-8d1c-8b3df052739c,974.0
2018-07-09,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1057.0
2018-07-10,18a35b7d-418a-4c7f-8d1c-8b3df052739c,894.0
2018-07-11,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1098.0
2018-07-12,18a35b7d-418a-4c7f-8d1c-8b3df052739c,1017.0
2018-07-13,18a35b7d-418a-4c7f-8d1c-8b3df052739c,825.0
2018-07-14,18a35b7d-418a-4c7f-8d1c-8b3df052739c,851.0
2018-07-15,18a35b7d-418a-4c7f-8d1c-8b3df052739c,847.0
2018-07-16,18a35b7d-418a-4c7f-8d1c-8b3df052739c,884.0
2018-07-17,18a35b7d-418a-4c7f-8d1c-8b3df052739c,903.0
2018-07-18,18a35b7d-418a-4c7f-8d1c-8b3df052739c,809.0
2018-07-19,18a35b7d-418a-4c7f-8d1c-8b3df052739c,847.0
2018-07-20,18a35b7d-418a-4c7f-8d1c-8b3df052739c,913.0
2018-07-21,18a35b7d-418a-4c7f-8d1c-8b3df052739c,909.0
2018-07-22,18a35b7d-418a-4c7f-8d1c-8b3df052739c,799.0
2018-07-23,18a35b7d-418a-4c7f-8d1c-8b3df052739c,944.0
2018-07-24,18a35b7d-418a-4c7f-8d1c-8b3df052739c,808.0
2018-07-25,18a35b7d-418a-4c7f-8d1c-8b3df052739c,972.0
2018-07-26,18a35b7d-418a-4c7f-8d1c-8b3df052739c,802.0
2018-07-27,18a35b7d-418a-4c7f-8d1c-8b3df052739c,897.0
