rollup_timestamp,database,value
2018-06-01,b9f3d41c-2265-472f-a188-1bc830f55de3,1333.0
2018-06-02,b9f3d41c-2265-472f-a188-1bc830f55de3,808.0
2018-06-03,b9f3d41c-2265-472f-a188-1bc830f55de3,142.0
2018-06-04,b9f3d41c-2265-472f-a188-1bc830f55de3,987.0
2018-06-05,b9f3d41c-2265-472f-a188-1bc830f55de3,1394.0
2018-06-06,b9f3d41c-2265-472f-a188-1bc830f55de3,126.0
2018-06-07,b9f3d41c-2265-472f-a188-1bc830f55de3,220.0
2018-06-08,b9f3d41c-2265-472f-a188-1bc830f55de3,855.0
2018-06-09,b9f3d41c-2265-472f-a188-1bc830f55de3,134.0
2018-06-10,b9f3d41c-2265-472f-a188-1bc830f55de3,598.0
2018-06-11,b9f3d41c-2265-472f-a188-1bc830f55de3,649.0
2018-06-12,b9f3d41c-2265-472f-a188-1bc830f55de3,2128.0
2018-06-13,b9f3d41c-2265-472f-a188-1bc830f55de3,1043.0
2018-06-14,b9f3d41c-2265-472f-a188-1bc830f55de3,321.0
2018-06-15,b9f3d41c-2265-472f-a188-1bc830f55de3,1453.0
2018-06-16,b9f3d41c-2265-472f-a188-1bc830f55de3,95.0
2018-06-17,b9f3d41c-2265-472f-a188-1bc830f55de3,479.0
2018-06-18,b9f3d41c-2265-472f-a188-1bc830f55de3,152.0
2018-06-19,b9f3d41c-2265-472f-a188-1bc830f55de3,369.0
2018-06-20,b9f3d41c-2265-472f-a188-1bc830f55de3,351.0
2018-06-21,b9f3d41c-2265-472f-a188-1bc830f55de3,793.0
2018-06-22,b9f3d41c-2265-472f-a188-1bc830f55de3,1039.0
2018-06-23,b9f3d41c-2265-472f-a188-1bc830f55de3,932.0
2018-06-24,b9f3d41c-2265-472f-a188-1bc830f55de3,84.0
2018-06-25,b9f3d41c-2265-472f-a188-1bc830f55de3,751.0
2018-06-26,b9f3d41c-2265-472f-a188-1bc830f55de3,5370.0
2018-06-27,b9f3d41c-2265-472f-a188-1bc830f55de3,3188.0
2018-06-28,b9f3d41c-2265-472f-a188-1bc830f55de3,678.0
2018-06-29,b9f3d41c-2265-472f-a188-1bc830f55de3,1607.0
2018-06-30,b9f3d41c-2265-472f-a188-1bc830f55de3,2339.0
2018-07-01,b9f3d41c-2265-472f-a188-1bc830f55de3,1764.0
2018-07-02,b9f3d41c-2265-472f-a188-1bc830f55de3,126.0
2018-07-03,b9f3d41c-2265-472f-a188-1bc830f55de3,1558.0
2018-07-04,b9f3d41c-2265-472f-a188-1bc830f55de3,49.0
2018-07-05,b9f3d41c-2265-472f-a188-1bc830f55de3,52.0
2018-07-06,b9f3d41c-2265-472f-a188-1bc830f55de3,1353.0
2018-07-07,b9f3d41c-2265-472f-a188-1bc830f55de3,620.0
2018-07-08,b9f3d41c-2265-472f-a188-1bc830f55de3,98.0
2018-07-09,b9f3d41c-2265-472f-a188-1bc830f55de3,546.0
2018-07-10,b9f3d41c-2265-472f-a188-1bc830f55de3,237.0
2018-07-11,b9f3d41c-2265-472f-a188-1bc830f55de3,387.0
2018-07-12,b9f3d41c-2265-472f-a188-1bc830f55de3,241.0
2018-07-13,b9f3d41c-2265-472f-a188-1bc830f55de3,1688.0
2018-07-14,b9f3d41c-2265-472f-a188-1bc830f55de3,1139.0
2018-07-15,b9f3d41c-2265-472f-a188-1bc830f55de3,65.0
2018-07-16,b9f3d41c-2265-472f-a188-1bc830f55de3,1431.0
2018-07-17,b9f3d41c-2265-472f-a188-1bc830f55de3,97.0
2018-07-18,b9f3d41c-2265-472f-a188-1bc830f55de3,334.0
2018-07-19,b9f3d41c-2265-472f-a188-1bc830f55de3,103.0
